id	label
25478619	1
25871453	0
43982508	0
4452511	0
6271969	0
11396248	0
5807790	1
14297020	0
15813563	0
12145501	0
10981148	0
10145317	0
33792023	0
29194380	0
4051261	0
16219781	0
29502860	0
10774030	1
24128800	0
25052515	1
29321843	0
37244953	0
30712941	1
30796682	0
36622981	0
2362122	0
6381107	0
26054912	1
19197670	0
5275646	0
9693801	0
15251678	1
42570155	0
593236	0
18010295	1
44234436	0
17042019	0
30434287	0
37063265	1
26335276	0
30143651	0
7487299	0
8070659	0
9455155	1
24925991	0
10924653	0
19763382	0
11542414	0
19740915	0
11971767	0
18752268	0
2547516	0
32590940	0
2521252	1
2094995	0
36950621	0
25378075	1
35902006	0
3251045	1
37032323	0
6536041	0
10850053	1
18279494	0
28621604	0
11157704	0
39210504	0
23289371	0
20159313	0
11239048	0
9582558	0
34623165	0
33514312	1
41905072	0
29390144	0
29311870	1
35675964	0
32735191	0
27348828	0
32192509	1
39453315	0
34496679	0
3548280	0
28217040	1
20878405	0
37314699	0
11000791	0
44354040	0
15549368	0
19764319	0
40066727	0
33579558	0
36796718	0
31973848	0
33629098	0
6553561	0
29302364	0
19395750	0
26232928	1
32516775	0
4872239	0
12270572	0
39448822	0
40418240	0
31202598	0
90573	0
6275181	0
24479076	0
11251129	0
19407866	0
13804540	0
26351384	0
36582743	0
10481578	0
32463659	0
27956877	0
43509346	1
14648281	0
17618019	0
22745647	0
28479160	1
40934484	0
6402353	0
7982178	0
28883676	0
21726439	0
40674841	0
31389382	0
25096614	0
15941338	0
29535792	0
12644074	0
36539389	0
4289129	0
37491965	0
6203180	0
16505259	1
18256923	0
19565780	0
28630325	0
4310464	0
25383545	0
18387540	1
32137304	0
42854255	0
2737181	0
21258769	0
42890206	0
23634042	0
31418681	0
39502537	0
269411	0
12170150	1
24991224	0
6792874	0
19428812	0
8182031	0
34493677	0
33437306	0
21090004	0
17482882	0
21068343	0
28360183	0
17137206	0
19778546	0
39859815	0
24898792	0
28870072	0
3459894	0
11616528	0
16641849	0
8890789	1
18892552	0
43616416	1
41467398	0
13496660	0
30829662	1
39011212	0
35498092	0
21415244	0
24790017	0
26980842	0
7813871	0
1790351	0
16828860	1
34084206	0
43729176	0
8435105	0
17678055	0
44987841	0
4297931	0
12279713	0
22501564	0
8802709	0
28314015	0
44996324	0
37398552	1
45040389	0
9391488	0
37271398	0
13979311	0
12954092	0
35088720	0
13042730	0
10773665	0
12946309	0
40193028	1
13239396	0
41100370	1
17736909	0
36197233	0
25353202	0
1901306	0
27946280	0
15068501	0
11564666	0
8678007	0
27706194	1
2176809	0
24547212	0
2145094	0
10174798	0
44109937	1
17828847	0
26874110	0
28435537	0
8951065	0
4093746	0
8655222	0
4312640	0
8309215	0
41124511	0
20381343	0
8755078	0
13831134	0
36265089	0
20094337	0
31501216	1
17909784	0
9624333	0
3667979	0
25967501	0
30014032	0
18775823	0
904200	1
44214991	1
30355698	0
28705896	0
14479652	0
41055405	0
38786442	0
