id,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,culster30
52560,-1.0710859298706055,-0.2743130028247833,-0.5848708152770996,0.33357852697372437,0.33843934535980225,-0.605656087398529,-0.26773858070373535,-0.41221049427986145,-0.6320170760154724,-0.25998327136039734,1
110280,-1.1680179834365845,-0.32141852378845215,-0.38914138078689575,0.13450877368450165,0.01607816480100155,-0.8907154202461243,-0.13081438839435577,0.19831301271915436,-0.5772280097007751,-0.32170015573501587,2
127910,-1.2573007345199585,-0.5551537275314331,-0.14311981201171875,0.3966253101825714,-0.015158779919147491,-0.7680320739746094,-0.5012631416320801,0.2907947599887848,-0.4846664369106293,-0.31379297375679016,0
133870,-1.2572237253189087,-0.5804776549339294,-0.12877248227596283,0.4092903435230255,-0.015348727814853191,-0.7692991495132446,-0.5160513520240784,0.2975429892539978,-0.48236462473869324,-0.3197081685066223,17
152690,-1.2087435722351074,0.0380374900996685,-0.33505409955978394,0.36733290553092957,0.11254233121871948,-0.7838978171348572,-0.21503983438014984,-0.05549204722046852,-0.4671498239040375,-0.26315686106681824,28
222730,-1.1785091161727905,-0.20022350549697876,-0.6573824286460876,0.22246842086315155,0.03698417544364929,-0.4869416356086731,-0.2103227972984314,-0.3479786515235901,-0.5262863039970398,-0.3511437177658081,4
236070,-1.0707553625106812,-0.2659235894680023,-0.5733975172042847,0.3367507755756378,0.33699822425842285,-0.6153402328491211,-0.26648247241973877,-0.39934825897216797,-0.6287813186645508,-0.2590487599372864,1
254440,-1.2512121200561523,-0.5165999531745911,-0.16120843589305878,0.39521485567092896,-0.006826992146670818,-0.7648798823356628,-0.4831940233707428,0.2604835629463196,-0.4829607605934143,-0.3132743239402771,24
281020,-1.1712758541107178,-0.30916211009025574,-0.3901555836200714,0.13945284485816956,0.018337924033403397,-0.8867228031158447,-0.1365809440612793,0.20192702114582062,-0.5747618079185486,-0.3171778619289398,23
506650,-1.2261180877685547,0.1100291982293129,-0.28400129079818726,0.40255245566368103,0.11056097596883774,-0.8172948360443115,-0.22791075706481934,-0.012301905080676079,-0.44037187099456787,-0.2520604133605957,3
583970,-1.1603471040725708,-0.3593766987323761,-0.31344401836395264,0.10468965768814087,0.0531330332159996,-0.9603487253189087,-0.04289081320166588,0.1164623349905014,-0.6065338253974915,-0.30637404322624207,8
616420,-1.1757975816726685,-0.2969866693019867,-0.3939211666584015,0.1464536339044571,0.01028597354888916,-0.8824098110198975,-0.14490000903606415,0.2285015881061554,-0.5685616731643677,-0.31765565276145935,26
843630,-1.2548140287399292,-0.5708844661712646,-0.13764476776123047,0.40618690848350525,-0.009595386683940887,-0.7650890946388245,-0.5102007985115051,0.28896284103393555,-0.48613816499710083,-0.3167581260204315,17
939250,-1.2981306314468384,-0.22756096720695496,-0.2998674809932709,0.2281244546175003,0.04776817560195923,-0.7681826949119568,-0.07322756946086884,0.0726998895406723,-0.4775685966014862,-0.2590060830116272,6
959710,-1.2574559450149536,-0.5700679421424866,-0.13698849081993103,0.4031659960746765,-0.014236962422728539,-0.7657458782196045,-0.5105966925621033,0.2934023141860962,-0.48488739132881165,-0.31565091013908386,17
962150,-1.1694321632385254,-0.31920936703681946,-0.3845249116420746,0.1338597685098648,0.01481626182794571,-0.8981235027313232,-0.13007518649101257,0.2070508748292923,-0.5759579539299011,-0.32270970940589905,2
964350,-1.252254605293274,-0.5123441815376282,-0.15868954360485077,0.3942985534667969,-0.006693006027489901,-0.7698169350624084,-0.48091042041778564,0.265641987323761,-0.4825679659843445,-0.3129851222038269,24
964660,-1.1722123622894287,-0.304607629776001,-0.38980844616889954,0.1413821429014206,0.018090926110744476,-0.8852496147155762,-0.13702818751335144,0.20066261291503906,-0.5730984807014465,-0.31630805134773254,23
1043090,-1.2263396978378296,0.10895810276269913,-0.2838706076145172,0.3985179662704468,0.10981427133083344,-0.8194895386695862,-0.22401389479637146,-0.01146306935697794,-0.44122329354286194,-0.2532549202442169,3
1113790,-1.1708735227584839,-0.3090320825576782,-0.3913058042526245,0.138114333152771,0.018945256248116493,-0.8844954371452332,-0.1339515894651413,0.19228331744670868,-0.5755977034568787,-0.3168925642967224,23
1186190,-1.1554099321365356,-0.13336677849292755,-0.38507717847824097,0.32105040550231934,0.11821743100881577,-0.7690092921257019,-0.20373427867889404,-0.11226624250411987,-0.5053973197937012,-0.3444899022579193,5
1195310,-1.25581955909729,-0.5567989945411682,-0.14680010080337524,0.3932074308395386,-0.013966464437544346,-0.768944263458252,-0.49807485938072205,0.2899976968765259,-0.4873432219028473,-0.31398284435272217,0
1224620,-1.228263020515442,0.11859675496816635,-0.2778574824333191,0.4032214283943176,0.10930044949054718,-0.8233829736709595,-0.22577977180480957,-0.009571508504450321,-0.4376804232597351,-0.2530631124973297,3
1225420,-1.1716902256011963,-0.3069009780883789,-0.38851994276046753,0.13989852368831635,0.016283320263028145,-0.8879343867301941,-0.13600772619247437,0.20366494357585907,-0.573390543460846,-0.31771594285964966,2
1240070,-1.0697942972183228,-0.27054816484451294,-0.5834037661552429,0.34254190325737,0.34776929020881653,-0.6066328287124634,-0.2732847332954407,-0.4180924892425537,-0.6321460008621216,-0.2562551200389862,1
